"DGP","n","ate","sd","bias"
"n = 500, SD = 1",298,50.0000184205733,0.12171479297424,1.84205733479092e-05
"n = 500, SD = 45",301,49.9072832978327,5.31504596035569,-0.0927167021673024
"n = 2000, SD = 1",1227,50.0019160334925,0.0605851454326434,0.0019160334925101
"n = 2000, SD = 45",1210,49.9519161769691,2.73196528320011,-0.0480838230308673
"n = 500, SD = 1",298,60.8628641555758,3.0755307576104,10.8628641555758
"n = 500, SD = 45",301,60.9716226028749,6.06872649371079,10.9716226028749
"n = 2000, SD = 1",1227,60.8587151027112,1.54997666802002,10.8587151027112
"n = 2000, SD = 45",1210,60.8413457117058,3.05593269817188,10.8413457117058
