"Data generating values","n","ate","sd","bias","sd_bias"
"n = 500, SD = 1",500,49.9494148630707,3.22814182083461,-0.0505851369292903,3.2281418208346
"n = 500, SD = 1",298,60.4418141395659,4.12177699885283,10.4418141395659,4.12177699885283
"n = 500, SD = 45",500,50.1241955145895,5.13480785532239,0.124195514589454,5.13480785532239
"n = 500, SD = 45",301,60.5065635907514,6.6477769647081,10.5065635907514,6.6477769647081
"n = 2000, SD = 1",2000,49.9886351077904,1.56200057943033,-0.0113648922095555,1.56200057943033
"n = 2000, SD = 1",1227,60.5234431279568,2.05278365874584,10.5234431279568,2.05278365874584
"n = 2000, SD = 45",2000,49.9656214743429,2.61693333370888,-0.0343785256570946,2.61693333370888
"n = 2000, SD = 45",1210,60.5759098641372,3.33397953095281,10.5759098641372,3.33397953095281
