"DGP","n","ate","sd","bias"
"n = 500, SD = 1",298,51.2602659678057,1.85270368163416,1.26026596780573
"n = 500, SD = 45",301,51.0714571356377,5.6577234924279,1.07145713563771
"n = 2000, SD = 1",1227,51.3052127468969,0.95691660754375,1.30521274689688
"n = 2000, SD = 45",1210,51.2988306106097,2.89829855535582,1.29883061060973
"n = 500, SD = 1",298,61.1288279520331,3.33635400655617,11.1288279520331
"n = 500, SD = 45",301,61.1457531285963,6.20386935703776,11.1457531285963
"n = 2000, SD = 1",1227,61.1737604149997,1.64922825122377,11.1737604149997
"n = 2000, SD = 45",1210,61.196624947643,3.15822112822793,11.196624947643
