"DGP","n","ate","sd","bias"
"n = 500, SD = 1",298,50.7958348831805,1.50215665254422,0.795834883180513
"n = 500, SD = 45",301,50.5428179519953,5.68733822021325,0.542817951995298
"n = 2000, SD = 1",1227,50.7487673092126,0.665071351179763,0.748767309212551
"n = 2000, SD = 45",1210,50.5795033983981,2.86725539680432,0.579503398398079
"n = 500, SD = 1",298,59.7953568693249,3.30621251755618,9.7953568693249
"n = 500, SD = 45",301,59.7943668874624,6.34542050987205,9.79436688746244
"n = 2000, SD = 1",1227,59.6470633424218,1.58187853918356,9.64706334242184
"n = 2000, SD = 45",1210,59.7769131257103,3.13644684874525,9.77691312571027
