"DGP","n","ate","sd","bias"
"n = 500, SD = 1",298,50.248098337536,0.877065184549227,0.248098337536013
"n = 500, SD = 45",301,50.5092590052307,5.57752566325296,0.509259005230685
"n = 2000, SD = 1",1227,50.1259515702077,0.308793805900541,0.125951570207653
"n = 2000, SD = 45",1210,50.4580328619971,2.81859683534586,0.45803286199712
"n = 500, SD = 1",298,58.5992333072063,3.05868025398775,8.59923330720634
"n = 500, SD = 45",301,58.5786458502218,6.15266966251854,8.57864585022176
"n = 2000, SD = 1",1227,58.7259258973647,1.51866472910729,8.72592589736472
"n = 2000, SD = 45",1210,58.9046856160729,3.1159391153118,8.90468561607287
